,Unnamed: 0,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
5867,5868,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2130000,1180000,10000,350000
5888,5889,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,150000,390000,10000,160000
5901,5902,Mario Tennis,GB,2000,Sports,Nintendo,500000,180000,440000,60000
5917,5918,Beijing 2008,PS3,2008,Sports,Sega,140000,540000,10000,180000
5921,5922,Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,300000,1270000,460000,260000
5922,5923,NBA Live 06,X360,2005,Sports,Electronic Arts,270000,0,0,20000
5923,5924,FIFA Soccer 08,DS,2007,Sports,Electronic Arts,100000,650000,0,110000
5924,5925,Barbie Horse Adventures: Riding Camp,PS2,2008,Sports,Activision,90000,70000,0,20000
5929,5930,Elf Bowling 1 & 2,GBA,2005,Sports,Ignition Entertainment,20000,10000,0,0
5930,5931,Gallop Racer Inbreed,PS2,2006,Sports,Tecmo Koei,0,0,20000,0
5944,5945,Mario Power Tennis,GC,2004,Sports,Nintendo,580000,160000,460000,30000
5951,5952,NBA Jam,SNES,1994,Sports,Acclaim Entertainment,1190000,160000,0,30000
5952,5953,NCAA Basketball 09,PS3,2008,Sports,Electronic Arts,150000,0,0,10000
5960,5961,Football Academy,DS,2009,Sports,Electronic Arts,0,10000,0,0
5961,5962,Decathlete,SAT,1994,Sports,Sega,0,0,300000,0
5963,5964,10 Minute Solution,Wii,2010,Sports,Activision,60000,10000,0,10000
5970,5971,NBA 2K3,GC,2002,Sports,Sega,120000,30000,0,0
5971,5972,Gallop Racer 2003: A New Breed,PS2,2002,Sports,Zoo Digital Publishing,40000,30000,120000,10000
5974,5975,Golf,NES,1984,Sports,Nintendo,1220000,280000,2460000,40000
5976,5977,Virtual Pool,PS,1997,Sports,Interplay,280000,190000,0,30000
5977,5978,NFL Tour,PS3,2008,Sports,Electronic Arts,100000,10000,0,10000
5982,5983,Barbie Super Sports,PS,1999,Sports,Mattel Interactive,120000,80000,0,10000
5987,5988,Winter Stars,Wii,2011,Sports,Deep Silver,60000,70000,0,10000
6011,6012,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,780000,30000,0,130000
6013,6014,Ten Pin Alley 2,GBA,2004,Sports,XS Games,10000,0,0,0
6022,6023,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,70000,460000,0,70000
6028,6029,NBA 2K10,PSP,2009,Sports,Take-Two Interactive,300000,0,0,30000
6029,6030,Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,350000,230000,0,70000
6034,6035,Major League Baseball 2K12,PC,2012,Sports,Take-Two Interactive,40000,0,0,0
6038,6039,MLB 11: The Show,PS2,2011,Sports,Sony Computer Entertainment,60000,50000,0,20000
6050,6051,Casper's Scare School: Spooky Sports Day,DS,2009,Sports,Blast! Entertainment Ltd,20000,0,0,0
6053,6054,ESPN NBA 2Night 2002,PS2,2002,Sports,Konami Digital Entertainment,20000,10000,0,0
6069,6070,NBA ShootOut 2001,PS,2000,Sports,Sony Computer Entertainment,150000,100000,0,20000
6095,6096,Let's Dance with Mel B,X360,2011,Sports,Black Bean Games,0,20000,0,0
6103,6104,EA Sports Active NFL Training Camp,Wii,2010,Sports,Electronic Arts,770000,0,0,50000
6108,6109,Family Trainer: Treasure Adventure,Wii,2010,Sports,Namco Bandai Games,0,60000,0,10000
6109,6110,Harry Potter: Quidditch World Cup,GC,2003,Sports,Electronic Arts,310000,80000,0,10000
6117,6118,MX vs. ATV Supercross Encore,XOne,2015,Sports,Nordic Games,20000,0,0,0
6119,6120,Backyard NFL Football '10,PS2,2009,Sports,Atari,30000,20000,0,10000
6136,6137,Winning Post 7 2009,PSP,2009,Sports,Tecmo Koei,0,0,30000,0
6141,6142,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,520000,280000,0,120000
6144,6145,NBA 2K7,XB,2006,Sports,Take-Two Interactive,20000,10000,0,0
6151,6152,Twisted Edge Extreme Snowboarding,N64,1998,Sports,Kemco,160000,40000,0,0
6171,6172,J-League Soccer: Prime Goal 2,SNES,1994,Sports,Namco Bandai Games,0,0,530000,0
6181,6182,Ice Hockey,NES,1988,Sports,Nintendo,1270000,320000,780000,50000
6196,6197,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,810000,480000,0,140000
6211,6212,All-Star Baseball 99,N64,1998,Sports,Acclaim Entertainment,440000,40000,0,0
6212,6213,Pro Yaky? Spirits 2011,3DS,2011,Sports,Konami Digital Entertainment,0,0,70000,0
6218,6219,Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,DTP Entertainment,0,0,0,180000
6227,6228,NCAA Gamebreaker,PS,1996,Sports,Sony Computer Entertainment,150000,100000,0,20000
6240,6241,Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,80000,900000,40000,50000
6243,6244,Reel Fishing: Angler's Dream,Wii,2009,Sports,Zushi Games,260000,10000,0,20000
6250,6251,Salt Lake 2002,PS2,2002,Sports,Eidos Interactive,70000,50000,0,20000
6262,6263,Billy's Boot Camp: Wii de Enjoy Diet!,Wii,2011,Sports,Rocket Company,0,0,70000,0
6266,6267,NHL 09,PC,2008,Sports,Electronic Arts,0,20000,0,0
6289,6290,Big Beach Sports,Wii,2008,Sports,THQ,450000,1020000,0,200000
6290,6291,Super Baseball,2600,1987,Sports,Atari,70000,0,0,0
6292,6293,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,80000,1240000,1130000,450000
6295,6296,SSX Tricky,PS2,2001,Sports,Electronic Arts,850000,660000,0,220000
6296,6297,Handball 16,PS3,2015,Sports,Bigben Interactive,0,40000,0,10000
6311,6312,Tennis no Oji-Sama: Genius Boys Academy,GBA,2002,Sports,Konami Digital Entertainment,0,0,240000,10000
6323,6324,International Superstar Soccer 2000,PS2,2000,Sports,Konami Digital Entertainment,0,0,200000,0
6325,6326,NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1360000,180000,0,150000
6329,6330,Virtua Tennis 4,PS3,2011,Sports,Sega,90000,250000,30000,90000
6332,6333,Backyard NFL Football '09,DS,2008,Sports,Atari,70000,0,0,10000
6333,6334,Super Swing Golf,Wii,2006,Sports,Nintendo,140000,10000,70000,10000
6339,6340,Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,130000,160000,130000,30000
6350,6351,We Love Golf!,Wii,2007,Sports,Capcom,200000,10000,30000,20000
6361,6362,NBA Live 99,N64,1998,Sports,Electronic Arts,450000,20000,0,0
6371,6372,Madden NFL 08,DS,2007,Sports,Electronic Arts,240000,0,0,20000
6401,6402,Tiger Woods PGA Tour 2003,XB,2002,Sports,Electronic Arts,350000,80000,0,10000
6430,6431,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,0,0,550000,40000
6439,6440,NCAA Basketball 09,PS2,2008,Sports,Electronic Arts,140000,110000,0,40000
6452,6453,Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,1510000,470000,0,180000
6453,6454,FIFA Soccer World Championship,PS2,2000,Sports,Electronic Arts,270000,210000,280000,70000
6467,6468,NCAA March Madness 08,PS2,2007,Sports,Electronic Arts,130000,100000,0,30000
6475,6476,Major League Baseball 2K11,PSP,2011,Sports,Take-Two Interactive,50000,0,0,0
6478,6479,MLB Power Pros 2008,DS,2008,Sports,Take-Two Interactive,50000,0,0,0
6479,6480,NHL 2002,PS2,2001,Sports,Electronic Arts,590000,460000,0,150000
6492,6493,FIFA 06: Road to FIFA World Cup,X360,2005,Sports,Electronic Arts,110000,20000,10000,10000
6497,6498,Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,550000,20000,0,90000
6506,6507,Dancing on Ice,DS,2010,Sports,Ghostlight,0,20000,0,0
6510,6511,J-League Jikkyou Winning Eleven 3,PS,1997,Sports,Konami Digital Entertainment,0,0,180000,10000
6525,6526,Yoga Wii,Wii,2009,Sports,JoWood Productions,150000,50000,0,20000
6532,6533,NCAA Football 12,PS3,2011,Sports,Electronic Arts,780000,0,0,50000
6541,6542,NBA Live 16,PS4,2015,Sports,Electronic Arts,100000,40000,0,30000
6557,6558,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,120000,0,1300000,0
6583,6584,Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,40000,1100000,320000,130000
6585,6586,Reel Fishing: The Great Outdoors,PSP,2006,Sports,Natsume,50000,0,0,0
6594,6595,J-League Pro Soccer Club o Tsukurou! 5,PS2,2007,Sports,Sega,0,0,190000,0
6613,6614,World Soccer Winning Eleven 7,PS2,2003,Sports,Konami Digital Entertainment,120000,90000,0,30000
6636,6637,Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,240000,260000,0,60000
6637,6638,Nike+ Kinect Training,X360,2012,Sports,Microsoft Game Studios,20000,20000,0,0
6651,6652,NBA Hangtime,PS,1996,Sports,Midway Games,30000,20000,0,0
6652,6653,Skate 3,X360,2010,Sports,Electronic Arts,1460000,980000,0,240000
6661,6662,Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1110000,40000,60000,90000
6663,6664,Madden NFL 2004,GC,2003,Sports,Electronic Arts,400000,100000,0,10000
6664,6665,PGA Tour 96,PS,1995,Sports,Electronic Arts,130000,90000,0,20000
6672,6673,NBA Live 09 All-Play,Wii,2008,Sports,Electronic Arts,190000,10000,0,20000
6673,6674,NBA In The Zone,PS,1995,Sports,Konami Digital Entertainment,160000,110000,0,20000
6675,6676,NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,560000,380000,0,70000
6678,6679,Triple Play 2000,PS,1999,Sports,Electronic Arts,790000,540000,0,90000
6702,6703,NBA Live 10,PS3,2009,Sports,Electronic Arts,460000,30000,10000,50000
6704,6705,Fishing Master (jp sales),Wii,2007,Sports,Konami Digital Entertainment,0,0,60000,0
6705,6706,NHL 10,PS3,2009,Sports,Electronic Arts,380000,120000,0,70000
6710,6711,Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,130000,420000,130000,100000
6725,6726,Pro Yakyuu Famista DS,DS,2007,Sports,Namco Bandai Games,0,0,100000,0
6740,6741,The BIGS 2,DS,2009,Sports,Take-Two Interactive,50000,0,0,0
6774,6775,World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,Konami Digital Entertainment,0,0,450000,0
6797,6798,Let's Make a Soccer Team!,PS2,2006,Sports,Sega,0,0,230000,0
6800,6801,Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,410000,190000,0,30000
6804,6805,No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PS,1999,Sports,Konami Digital Entertainment,0,0,300000,20000
6813,6814,High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,180000,140000,0,50000
6818,6819,NBA 2K3,PS2,2002,Sports,Sega,510000,400000,0,130000
6824,6825,NHL 2K7,X360,2006,Sports,Take-Two Interactive,70000,0,0,10000
6830,6831,Diva Girls: Divas on Ice,Wii,2009,Sports,505 Games,70000,10000,0,10000
6831,6832,MLB Pennant Race,PS,1996,Sports,Sony Computer Entertainment,160000,110000,0,20000
6832,6833,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,530000,190000,0,60000
6843,6844,Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0,0,800000,0
6848,6849,NBA Jam Extreme,PS,1996,Sports,Acclaim Entertainment,120000,80000,0,10000
6850,6851,NBA Live 06,PSP,2005,Sports,Electronic Arts,390000,0,0,30000
6854,6855,Dorabase 2: Nettou Ultra Stadium,DS,2009,Sports,Namco Bandai Games,0,0,120000,0
6858,6859,ESPN NHL 2K5,XB,2004,Sports,Global Star,320000,90000,0,20000
6864,6865,Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,560000,330000,0,80000
6871,6872,RealSports Baseball,2600,1981,Sports,Atari,200000,10000,0,0
6884,6885,Sega Superstars Tennis,PS3,2008,Sports,Sega,130000,200000,0,80000
6887,6888,NCAA Football 2001,PS,2000,Sports,Electronic Arts,390000,260000,0,50000
6890,6891,MLB 2001,PS,2000,Sports,Sony Computer Entertainment,490000,340000,0,60000
6902,6903,North American Hunting Extravaganza 2,Wii,2010,Sports,Unknown,30000,0,0,0
6905,6906,Knockout Kings 2003,GC,2002,Sports,Electronic Arts,120000,30000,0,0
6913,6914,Skate it,DS,2008,Sports,Electronic Arts,140000,20000,0,10000
6915,6916,Pro Cast Sports Fishing,XB,2003,Sports,Capcom,20000,10000,0,0
6922,6923,Madden NFL 12,X360,2011,Sports,Electronic Arts,2420000,110000,0,160000
6926,6927,NCAA Football 2004,XB,2003,Sports,Electronic Arts,400000,20000,0,20000
6928,6929,Pro Evolution Soccer 2013,PC,2012,Sports,Konami Digital Entertainment,0,70000,0,10000
6929,6930,NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1610000,270000,50000,180000
6931,6932,Turbo: Super Stunt Squad,X360,2013,Sports,D3Publisher,0,10000,0,0
6935,6936,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,210000,270000,0,90000
6939,6940,Zumba Fitness Rush,X360,2012,Sports,505 Games,0,160000,0,20000
6945,6946,All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,170000,40000,0,10000
6948,6949,My Horse & Me: Riding for Gold,Wii,2008,Sports,Atari,40000,20000,0,0
6950,6951,Football Manager Handheld 2008,PSP,2007,Sports,Sega,0,340000,0,0
6952,6953,MLB 13: The Show,PSV,2013,Sports,Sony Computer Entertainment,110000,0,0,20000
6960,6961,NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,320000,250000,0,80000
6964,6965,Kawa no Nushi Tsuri,PS,1998,Sports,Victor Interactive,0,0,150000,10000
6967,6968,Rugby 15,PSV,2015,Sports,Bigben Interactive,0,50000,0,10000
6973,6974,Winter Sports 2011,Wii,2011,Sports,DTP Entertainment,0,60000,0,10000
6974,6975,International Superstar Soccer,SNES,1994,Sports,Konami Digital Entertainment,0,0,280000,0
6980,6981,Amped 3,X360,2005,Sports,Take-Two Interactive,130000,20000,0,10000
6982,6983,Cabela's Legendary Adventures,Wii,2008,Sports,Activision,170000,0,0,10000
6990,6991,Cabela's Big Game Hunter: Ultimate Challenge,PS,2001,Sports,Activision Value,120000,80000,0,10000
6992,6993,NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,1690000,200000,0,60000
7005,7006,Madden NFL 17,XOne,2016,Sports,Electronic Arts,720000,20000,0,90000
7012,7013,International Cricket 2010,X360,2010,Sports,Codemasters,0,120000,0,20000
7020,7021,Gallop Racer,PS,1999,Sports,Tecmo Koei,0,0,180000,10000
7024,7025,NCAA Football 10,X360,2009,Sports,Electronic Arts,870000,0,0,70000
7027,7028,NBA 2K7,PS2,2006,Sports,Take-Two Interactive,650000,20000,0,110000
7032,7033,Shaun White Skateboarding,PC,2010,Sports,Ubisoft,0,30000,0,10000
7037,7038,StokEd,X360,2009,Sports,Zushi Games,180000,10000,0,10000
7043,7044,World Series Baseball,SAT,1994,Sports,Sega,0,0,40000,0
7054,7055,The BIGS,Wii,2007,Sports,Take-Two Interactive,340000,0,0,30000
7057,7058,True Swing Golf,DS,2005,Sports,Nintendo,110000,0,40000,10000
7068,7069,Cabela's Big Game Hunter (2008),X360,2007,Sports,Activision Value,60000,0,0,0
7071,7072,North American Hunting Extravaganza,Wii,2008,Sports,Zushi Games,330000,0,0,30000
7080,7081,Davis Cup Tennis,GBA,2002,Sports,Ubisoft,10000,0,0,0
7099,7100,Turbo: Super Stunt Squad,3DS,2013,Sports,D3Publisher,0,10000,0,0
7125,7126,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,580000,0,0,30000
7129,7130,Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0,110000,0
7130,7131,Madden NFL 08,GC,2007,Sports,Electronic Arts,60000,20000,0,0
7135,7136,Salt Lake 2002,GBA,2002,Sports,Ubisoft,40000,20000,0,0
7164,7165,ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment,110000,80000,170000,30000
7165,7166,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000,Sports,Konami Digital Entertainment,0,0,270000,20000
7178,7179,Shaun White Snowboarding,PSP,2008,Sports,Ubisoft,260000,30000,0,30000
7180,7181,Surf's Up,PSP,2007,Sports,Ubisoft,20000,60000,0,30000
7195,7196,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1250000,610000,130000,50000
7196,7197,Derby Stallion Advance,GBA,2002,Sports,Enterbrain,0,0,120000,0
7203,7204,Harlem Globetrotters: World Tour,DS,2006,Sports,Zoo Digital Publishing,70000,0,0,10000
7220,7221,NFL Quarterback Club 2000,N64,1999,Sports,Acclaim Entertainment,370000,30000,0,0
7222,7223,Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,100000,180000,120000,1160000
7231,7232,Major League Baseball 2K8,Wii,2008,Sports,Take-Two Interactive,130000,0,0,10000
7234,7235,NHL Hitz 20-02,XB,2001,Sports,Midway Games,200000,60000,0,10000
7238,7239,Jikkyou Powerful Pro Yakyuu '99 Ketteiban,PS,1999,Sports,Konami Digital Entertainment,0,0,250000,20000
7242,7243,Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,140000,0,0,10000
7248,7249,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,200000,760000,0,390000
7249,7250,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,150000,100000,0,20000
7253,7254,NHL 2K3,GC,2002,Sports,Sega,10000,0,0,0
7264,7265,Little League World Series Baseball 2010,PS3,2010,Sports,Activision,70000,0,0,10000
7272,7273,NHL 97,PS,1996,Sports,Electronic Arts,260000,180000,0,30000
7296,7297,Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision,180000,0,0,10000
7315,7316,Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,90000,430000,110000,130000
7318,7319,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,590000,300000,0,40000
7324,7325,Sega Bass Fishing,Wii,2008,Sports,Sega,460000,10000,0,40000
7328,7329,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,210000,170000,160000,60000
7333,7334,Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,70000,60000,0,20000
7335,7336,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,370000,690000,280000,140000
7345,7346,Gummy Bears Mini Golf,DS,2010,Sports,Storm City Games,40000,0,0,0
7346,7347,Madden NFL 13,PS3,2012,Sports,Electronic Arts,2110000,230000,0,220000
7347,7348,Real Soccer 2008,DS,2007,Sports,Ubisoft,30000,0,0,0
7351,7352,Little League World Series Baseball 2010,X360,2010,Sports,Activision,90000,0,0,10000
7360,7361,Finny the Fish & the Seven Waters,PS2,2004,Sports,Sony Computer Entertainment,20000,20000,0,10000
7365,7366,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3050000,1410000,20000,200000
7380,7381,NBA Live 07,XB,2006,Sports,Electronic Arts,40000,10000,0,0
7390,7391,LMA Manager 2007,X360,2006,Sports,Codemasters,0,10000,0,0
7391,7392,Madden NFL 2002,GBA,2001,Sports,Electronic Arts,230000,80000,0,10000
7397,7398,NHL 07,PSP,2006,Sports,Electronic Arts,130000,20000,0,20000
7399,7400,Football Manager Handheld 2011,PSP,2010,Sports,Sega,0,280000,0,140000
7400,7401,MLB 2002,PS,2001,Sports,Sony Computer Entertainment,240000,160000,0,30000
7401,7402,Jikkyou Powerful Pro Yakyuu Portable,PSP,2006,Sports,Konami Digital Entertainment,0,0,150000,0
7435,7436,Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,130000,110000,0,40000
7446,7447,NHL 2K3,XB,2002,Sports,Sega,90000,20000,0,0
7451,7452,Rugby 06,PS2,2006,Sports,Electronic Arts,20000,20000,0,10000
7458,7459,NHL 09,X360,2008,Sports,Electronic Arts,450000,10000,0,40000
7473,7474,Dead or Alive Xtreme 2,X360,2006,Sports,Tecmo Koei,150000,30000,60000,20000
7479,7480,FIFA 17,X360,2016,Sports,Electronic Arts,30000,130000,0,10000
7488,7489,Pro Yaky? Spirits 2013,PSP,2013,Sports,Konami Digital Entertainment,0,0,200000,0
7497,7498,Kidz Sports: Crazy Golf,Wii,2008,Sports,Data Design Interactive,110000,0,0,10000
7499,7500,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2660000,1290000,10000,460000
7512,7513,ESPN NHL Hockey,PS2,2003,Sports,Sega,110000,90000,0,30000
7517,7518,Tour de France 2014,PS3,2014,Sports,Focus Home Interactive,0,20000,0,0
7531,7532,FIFA Soccer 08,PS3,2007,Sports,Electronic Arts,350000,1070000,20000,320000
7535,7536,WTA Tour Tennis,PS2,2001,Sports,Konami Digital Entertainment,30000,20000,0,10000
7545,7546,2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,90000,240000,30000,120000
7548,7549,NBA Jam,XB,2003,Sports,Acclaim Entertainment,100000,30000,0,0
7557,7558,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007,Sports,Detn8 Games,210000,0,0,20000
7563,7564,Jikkyou Powerful Pro Yakyuu 2011,PSP,2011,Sports,Konami Digital Entertainment,0,0,200000,0
7568,7569,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,320000,430000,20000,90000
7592,7593,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,230000,730000,20000,370000
7594,7595,J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0,0,690000,0
7595,7596,Athens 2004,PS2,2004,Sports,Sony Computer Entertainment,130000,100000,0,30000
7602,7603,Backyard NFL Football,GBA,2002,Sports,Infogrames,400000,150000,0,10000
7603,7604,Triple Play 2002,PS2,2002,Sports,Electronic Arts,430000,330000,0,110000
7609,7610,NBA ShootOut 2002,PS,2001,Sports,Sony Computer Entertainment,80000,50000,0,10000
7612,7613,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013,Sports,Sega,0,0,130000,0
7620,7621,Cabela's Outdoor Adventures (2009),PS3,2009,Sports,Activision Value,210000,0,0,20000
7623,7624,Power Pro Kun Pocket 3,GBA,2001,Sports,Konami Digital Entertainment,0,0,270000,10000
7628,7629,Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,Tecmo Koei,0,0,50000,0
7640,7641,SSX 3,XB,2003,Sports,Electronic Arts,290000,80000,0,10000
7644,7645,Madden NFL 99,N64,1998,Sports,Electronic Arts,840000,50000,0,10000
7652,7653,UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,THQ,120000,60000,0,20000
7656,7657,Jikkyou Powerful Pro Yakyuu 3,SNES,1996,Sports,Konami Digital Entertainment,0,0,450000,0
7666,7667,NFL Quarterback Club 98,N64,1997,Sports,Acclaim Entertainment,1010000,50000,0,10000
7669,7670,The Biggest Loser: Challenge,Wii,2010,Sports,THQ,490000,130000,0,50000
7672,7673,Winter Sports 3: The Great Tournament,Wii,2010,Sports,Tradewest,20000,20000,0,0
7695,7696,Football Manager Live,PC,2009,Sports,Sega,0,10000,0,0
7700,7701,Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011,Sports,Konami Digital Entertainment,0,0,80000,0
7705,7706,EA Playground,Wii,2007,Sports,Electronic Arts,690000,480000,0,130000
7707,7708,NFL GameDay 99,PS,1998,Sports,989 Studios,1440000,50000,0,40000
7714,7715,Winning Post World,PS2,2009,Sports,Tecmo Koei,0,0,30000,0
7720,7721,Breeding Stud 2,PS,1998,Sports,Konami Digital Entertainment,0,0,40000,0
7723,7724,NCAA March Madness 2004,XB,2003,Sports,Electronic Arts,180000,50000,0,10000
7741,7742,Keiba Eight Special,SNES,1993,Sports,Misawa,0,0,50000,0
7745,7746,Madden NFL 2001,PS,2000,Sports,Electronic Arts,1580000,50000,0,40000
7746,7747,BMX XXX,GC,2002,Sports,Acclaim Entertainment,50000,10000,0,0
7747,7748,NBA 2K14,XOne,2013,Sports,Take-Two Interactive,700000,110000,0,60000
7748,7749,NBA Jam Tournament Edition,SNES,1995,Sports,Acclaim Entertainment,870000,120000,0,20000
7749,7750,Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0,0,870000,0
7769,7770,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2120000,1140000,100000,510000
7775,7776,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,860000,0,0,60000
7787,7788,Surf's Up,PS3,2007,Sports,Ubisoft,30000,0,0,0
7790,7791,World Cup Golf: Professional Edition,PS,1995,Sports,U.S. Gold,70000,50000,0,10000
7791,7792,World Cup of Pool,DS,2009,Sports,Midas Interactive Entertainment,60000,0,0,0
7796,7797,Brunswick Pro Bowling,3DS,2011,Sports,Crave Entertainment,110000,0,0,10000
7804,7805,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,80000,900000,20000,0
7805,7806,FIFA 15,3DS,2014,Sports,Electronic Arts,90000,330000,0,30000
7819,7820,MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,580000,0,0,70000
7830,7831,Beijing 2008,X360,2008,Sports,Sega,150000,380000,0,70000
7834,7835,Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1380000,740000,20000,220000
7837,7838,Gold's Gym: Cardio Workout (Others sales),Wii,2008,Sports,Ubisoft,0,300000,0,20000
7839,7840,Ski and Shoot,Wii,2008,Sports,RTL,40000,40000,0,10000
7842,7843,Dead Ball Zone,PS,1998,Sports,GT Interactive,20000,20000,0,0
7844,7845,Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011,Sports,Tecmo Koei,50000,40000,10000,10000
7846,7847,World Stadium 3,PS,1999,Sports,Namco Bandai Games,0,0,310000,20000
7851,7852,Surf's Up,GC,2007,Sports,Ubisoft,10000,0,0,0
7863,7864,Skate 2,X360,2009,Sports,Electronic Arts,820000,170000,10000,90000
7865,7866,FIFA 14,X360,2013,Sports,Electronic Arts,920000,2930000,10000,460000
7885,7886,Reel Fishing II,PS,2000,Sports,Victor Interactive,100000,70000,0,10000
7897,7898,ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,180000,140000,0,50000
7907,7908,Hooked! Real Motion Fishing,Wii,2007,Sports,505 Games,210000,0,0,20000
7909,7910,NHL 16,PS4,2015,Sports,Electronic Arts,350000,150000,0,110000
7914,7915,Winning Post,SNES,1993,Sports,Tecmo Koei,0,0,530000,0
7915,7916,Tiger Woods PGA Tour 08,DS,2007,Sports,Electronic Arts,50000,0,0,0
7916,7917,Power Pro Kun Pocket 13,DS,2010,Sports,Konami Digital Entertainment,0,0,130000,0
7919,7920,NBA 2K2,PS2,2002,Sports,Sega,590000,460000,10000,150000
7922,7923,Championship Surfer,PS,2000,Sports,Mattel Interactive,30000,20000,0,0
7925,7926,CyberTiger,PS,1998,Sports,Electronic Arts,330000,220000,0,40000
7930,7931,World Snooker Championship 2007,X360,2007,Sports,Sega,0,10000,0,0
7936,7937,NCAA Football 99,PS,1998,Sports,Electronic Arts,590000,400000,0,70000
7938,7939,Jikkyou Powerful Pro Yakyuu Next,Wii,2009,Sports,Konami Digital Entertainment,0,0,80000,0
7944,7945,Derby Stallion 04,PS2,2004,Sports,Enterbrain,0,0,550000,0
7946,7947,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,150000,390000,0,30000
